dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
JAIN,classf,True,feature,1,2,0.5276772401350757,0.5640365099639301,-0.5269785874092836
JAIN,classf,True,feature,2,4,0.4944649953347089,0.32574965918729293,-0.49453006279997536
JAIN,classf,True,feature,3,3,0.5153330551640412,0.2700516075230916,-0.5151800749416756
JAIN,classf,True,feature,4,2,0.5072126622316901,0.5102097944227533,-0.5068369226254252
JAIN,classf,True,mds,0,5,0.2860808376485502,0.3758377876734137,-0.5062340422249877
JAIN,classf,True,mds,1,3,0.48303122328900205,0.44196012586817185,-0.5123497121952394
JAIN,classf,True,mds,2,3,0.4914140757446834,0.24773572303719005,-0.4988045694600764
JAIN,classf,True,mds,3,4,0.4738363287916432,0.3108899865587313,-0.5105819961709511
JAIN,classf,True,mds,4,4,0.47937229167008444,0.31545509388588316,-0.5172044185019643
JAIN,classf,False,feature,0,2,0.5083756783749925,0.5480604650688513,-0.5077371428537276
JAIN,classf,False,feature,1,3,0.5173591725458463,0.2608209494987078,-0.5167233857243575
JAIN,classf,False,feature,2,2,0.5075548087757296,0.5569131569514719,-0.5070702400359357
JAIN,classf,False,feature,3,2,0.5047950959780189,0.5131674256852353,-0.5047406482620208
JAIN,classf,False,feature,4,2,0.5216946925569458,0.6270165808126295,-0.5192304316758203
JAIN,classf,False,mds,0,3,0.5197720090966358,0.29777670981427207,-0.5123069103764453
JAIN,classf,False,mds,1,3,0.49074678736919786,0.3234622586391213,-0.5174178940277312
JAIN,classf,False,mds,2,4,0.48049968168201285,0.3292966082260888,-0.5200773954576846
JAIN,classf,False,mds,3,3,0.5246879447694299,0.3314329668930143,-0.540608582277945
JAIN,classf,False,mds,4,4,0.4668171513307046,0.3080796329308539,-0.5048193683674921
PIMA-INDIANS,classf,True,feature,0,2,0.5076337739836673,0.006521067207115437,-0.492041443004977
PIMA-INDIANS,classf,True,feature,1,2,0.4803017082263458,0.0039707494081748914,-0.4190446034789295
PIMA-INDIANS,classf,True,feature,2,2,0.4738097947916879,0.00545687196174141,-0.40679234350647636
PIMA-INDIANS,classf,True,feature,3,2,0.49269058228306817,0.0066372502308132955,-0.4823393260919339
PIMA-INDIANS,classf,True,feature,4,2,0.5273655509615319,0.007076384535547136,-0.5088619667842055
PIMA-INDIANS,classf,True,mds,0,4,0.35905655426592303,0.14264764008085848,-0.3960457036113657
PIMA-INDIANS,classf,True,mds,1,2,0.5168582117219862,-0.007510311501636091,-0.5172097892784451
PIMA-INDIANS,classf,True,mds,2,2,0.5012122591724419,-0.007276757251588706,-0.4905361039497055
PIMA-INDIANS,classf,True,mds,3,3,0.3894035451072638,0.14586748265780267,-0.3923078762013728
PIMA-INDIANS,classf,True,mds,4,3,0.38491190350035864,0.151034589513984,-0.3878078529413037
PIMA-INDIANS,classf,False,feature,0,2,0.4458224730375785,0.024639188364941184,-0.3946435615905762
PIMA-INDIANS,classf,False,feature,1,2,0.42577928570534934,0.006612818520637306,-0.414839527109431
PIMA-INDIANS,classf,False,feature,2,2,0.5074361903065825,-0.007123399441800549,-0.4294022169271086
PIMA-INDIANS,classf,False,feature,3,2,0.4774631559948475,-0.007172450804822539,-0.3968040156356764
PIMA-INDIANS,classf,False,feature,4,2,0.509141032562592,0.0065418798386826515,-0.49159900514143867
PIMA-INDIANS,classf,False,mds,0,3,0.3854783827313796,0.14858917226411586,-0.38991681839116016
